expiry,d3,spot_0930,gate,P20,P35,P65,P80,premium_credit_points,gross_mc_ev_points,realized_net_pnl_inr,win,es95_inr_proxy,es99_inr_proxy,lot_size,data_source,model_status,status,error
2024-07-04,2024-07-01,24047.15,False,23800.0,24000.0,24250.0,24350.0,2.0500000000000114,-9.032117166386413,,0.0,4247.168395173629,4577.273075382213,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-07-11,2024-07-08,24323.25,False,24100.0,24250.0,24500.0,24650.0,-16.200000000000006,-26.72834902057906,,0.0,2776.4120069326787,2920.844100913137,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-07-18,2024-07-12,24424.7,False,24200.0,24350.0,24600.0,24750.0,-10.700000000000003,-21.747580392077175,,0.0,2897.687745094685,3055.7743543691818,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-07-25,2024-07-22,24457.25,True,24200.0,24400.0,24650.0,24800.0,101.25,106.81419463567391,2440.1000000000004,1.0,6676.338099212217,7028.596095573376,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-08-01,2024-07-29,24909.55,False,24650.0,24850.0,25100.0,25250.0,-23.549999999999997,-19.59429412889997,,0.0,3512.8675826524,3929.305037663362,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-08-08,2024-08-05,24203.65,True,24000.0,24150.0,24400.0,24550.0,49.7,42.98125777995797,1979.47125,1.0,4433.222563305084,4574.4697553154265,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-08-14,2024-08-09,24387.8,True,24150.0,24300.0,24550.0,24700.0,33.30000000000001,18.62388226004406,4335.2721875,1.0,4013.409118167912,4156.1107173803875,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-08-22,2024-08-19,24596.8,False,24350.0,24550.0,24800.0,24950.0,-25.650000000000006,-16.11438778301916,,0.0,3585.430783154897,3896.6291079461116,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-08-29,2024-08-26,24913.5,False,24700.0,24850.0,25100.0,25250.0,-18.65,-33.45393036897753,,0.0,2685.474428470685,2850.889997501932,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
2024-09-05,2024-09-02,25306.8,False,25050.0,25250.0,25500.0,25650.0,-30.350000000000005,-29.026528755641042,,0.0,3378.0928678172995,3756.853701006794,25.0,thetrademarkk/india-index-options-1m,"At the 09:30 signal, bootstrap h daily log returns with replacement from the preceding 756 NIFTY sessions, where h is the number of trading-session closes from D3 to expiry. Start from the 09:30 NIFTY spot. This is provisional until the original MC implementation is recovered.",,
